Date,Vehicle Class,Fuel Type,Classified,Date
2021-07-01,LGV,Diesel,7769,2021-07-01
2021-07-01,LGV,Electric,57,2021-07-01
2021-07-01,LGV,Petrol,2,2021-07-01
2021-07-01,MGV,Diesel,2234,2021-07-01
2021-07-01,MGV,Electric,2,2021-07-01
2021-07-01,Motorcycle,Electric,76,2021-07-01
2021-07-01,Motorcycle,Petrol,15968,2021-07-01
2021-07-01,Private Bus,Diesel,88,2021-07-01
2021-07-01,Private Car,Electric,9695,2021-07-01
2021-07-01,Private Car,Petrol,56450,2021-07-01
2021-07-01,Private Light Bus,Diesel,106,2021-07-01
2021-07-01,Private Light Bus,Electric,1,2021-07-01
2021-07-01,Private Light Bus,LPG,127,2021-07-01
2021-07-01,Public Bus,Diesel,905,2021-07-01
2021-07-01,Public Light Bus,Diesel,28,2021-07-01
2021-07-01,Public Light Bus,LPG,287,2021-07-01
2021-07-01,Taxi,LPG,1511,2021-07-01
2021-08-01,HGV,Diesel,579,2021-08-01
2021-08-01,LGV,Diesel,8201,2021-08-01
2021-08-01,LGV,Electric,61,2021-08-01
2021-08-01,LGV,Petrol,2,2021-08-01
2021-08-01,MGV,Diesel,2403,2021-08-01
2021-08-01,MGV,Electric,2,2021-08-01
2021-08-01,Motorcycle,Electric,89,2021-08-01
2021-08-01,Motorcycle,Petrol,16776,2021-08-01
2021-08-01,Private Bus,Diesel,100,2021-08-01
2021-08-01,Private Car,Electric,10382,2021-08-01
2021-08-01,Private Car,Petrol,58829,2021-08-01
2021-08-01,Private Light Bus,Diesel,116,2021-08-01
2021-08-01,Private Light Bus,Electric,1,2021-08-01
2021-08-01,Private Light Bus,LPG,134,2021-08-01
2021-08-01,Public Bus,Diesel,968,2021-08-01
2021-08-01,Public Light Bus,Diesel,28,2021-08-01
2021-08-01,Public Light Bus,LPG,297,2021-08-01
2021-08-01,Taxi,LPG,1628,2021-08-01
2021-09-01,HGV,Diesel,621,2021-09-01
2021-09-01,LGV,Diesel,8601,2021-09-01
2021-09-01,LGV,Electric,69,2021-09-01
2021-09-01,LGV,Petrol,2,2021-09-01
2021-09-01,MGV,Diesel,2608,2021-09-01
2021-09-01,MGV,Electric,2,2021-09-01
2021-09-01,Motorcycle,Electric,93,2021-09-01
2021-09-01,Motorcycle,Petrol,17496,2021-09-01
2021-09-01,Private Bus,Diesel,109,2021-09-01
2021-09-01,Private Car,Diesel,2,2021-09-01
2021-09-01,Private Car,Electric,11376,2021-09-01
2021-09-01,Private Car,Petrol,61387,2021-09-01
2021-09-01,Private Light Bus,Diesel,121,2021-09-01
2021-09-01,Private Light Bus,Electric,1,2021-09-01
2021-09-01,Private Light Bus,LPG,134,2021-09-01
2021-09-01,Public Bus,Diesel,1023,2021-09-01
2021-09-01,Public Light Bus,Diesel,28,2021-09-01
2021-09-01,Public Light Bus,LPG,309,2021-09-01
2021-09-01,Taxi,LPG,1720,2021-09-01
2021-10-01,HGV,Diesel,660,2021-10-01
2021-10-01,LGV,Diesel,8905,2021-10-01
2021-10-01,LGV,Electric,75,2021-10-01
2021-10-01,LGV,Petrol,2,2021-10-01
2021-10-01,MGV,Diesel,2760,2021-10-01
2021-10-01,MGV,Electric,2,2021-10-01
2021-10-01,Motorcycle,Electric,95,2021-10-01
2021-10-01,Motorcycle,Petrol,18149,2021-10-01
2021-10-01,Private Bus,Diesel,114,2021-10-01
2021-10-01,Private Car,Diesel,2,2021-10-01
2021-10-01,Private Car,Electric,12206,2021-10-01
2021-10-01,Private Car,Petrol,63284,2021-10-01
2021-10-01,Private Light Bus,Diesel,125,2021-10-01
2021-10-01,Private Light Bus,Electric,1,2021-10-01
2021-10-01,Private Light Bus,LPG,134,2021-10-01
2021-10-01,Public Bus,Diesel,1061,2021-10-01
2021-10-01,Public Light Bus,Diesel,29,2021-10-01
2021-10-01,Public Light Bus,LPG,325,2021-10-01
2021-10-01,Taxi,LPG,1815,2021-10-01
2021-11-01,HGV,Diesel,714,2021-11-01
2021-11-01,LGV,Diesel,9298,2021-11-01
2021-11-01,LGV,Electric,81,2021-11-01
2021-11-01,LGV,Petrol,3,2021-11-01
2021-11-01,MGV,Diesel,2944,2021-11-01
2021-11-01,MGV,Electric,2,2021-11-01
2021-11-01,Motorcycle,Electric,99,2021-11-01
2021-11-01,Motorcycle,Petrol,18908,2021-11-01
2021-11-01,Private Bus,Diesel,116,2021-11-01
2021-11-01,Private Car,Diesel,2,2021-11-01
2021-11-01,Private Car,Electric,13862,2021-11-01
2021-11-01,Private Car,Petrol,65549,2021-11-01
2021-11-01,Private Light Bus,Diesel,134,2021-11-01
2021-11-01,Private Light Bus,Electric,1,2021-11-01
2021-11-01,Private Light Bus,LPG,134,2021-11-01
2021-11-01,Public Bus,Diesel,1097,2021-11-01
2021-11-01,Public Light Bus,Diesel,29,2021-11-01
2021-11-01,Public Light Bus,LPG,342,2021-11-01
2021-11-01,Taxi,LPG,1936,2021-11-01
2021-12-01,HGV,Diesel,756,2021-12-01
2021-12-01,LGV,Diesel,9829,2021-12-01
2021-12-01,LGV,Electric,96,2021-12-01
2021-12-01,LGV,Petrol,4,2021-12-01
2021-12-01,MGV,Diesel,3140,2021-12-01
2021-12-01,MGV,Electric,2,2021-12-01
2021-12-01,Motorcycle,Electric,104,2021-12-01
2021-12-01,Motorcycle,Petrol,19639,2021-12-01
2021-12-01,Private Bus,Diesel,121,2021-12-01
2021-12-01,Private Car,Diesel,2,2021-12-01
2021-12-01,Private Car,Electric,14991,2021-12-01
2021-12-01,Private Car,Petrol,67744,2021-12-01
2021-12-01,Private Light Bus,Diesel,144,2021-12-01
2021-12-01,Private Light Bus,Electric,1,2021-12-01
2021-12-01,Private Light Bus,LPG,134,2021-12-01
2021-12-01,Public Bus,Diesel,1128,2021-12-01
2021-12-01,Public Light Bus,Diesel,29,2021-12-01
2021-12-01,Public Light Bus,LPG,357,2021-12-01
2021-12-01,Taxi,LPG,2048,2021-12-01
2022-01-01,HGV,Diesel,804,2022-01-01
2022-01-01,LGV,Diesel,10167,2022-01-01
2022-01-01,LGV,Electric,98,2022-01-01
2022-01-01,LGV,Petrol,4,2022-01-01
2022-01-01,MGV,Diesel,3273,2022-01-01
2022-01-01,MGV,Electric,2,2022-01-01
2022-01-01,Motorcycle,Electric,104,2022-01-01
2022-01-01,Motorcycle,Petrol,20315,2022-01-01
2022-01-01,Private Bus,Diesel,135,2022-01-01
2022-01-01,Private Car,Diesel,2,2022-01-01
2022-01-01,Private Car,Electric,15502,2022-01-01
2022-01-01,Private Car,Petrol,69301,2022-01-01
2022-01-01,Private Light Bus,Diesel,151,2022-01-01
2022-01-01,Private Light Bus,Electric,1,2022-01-01
2022-01-01,Private Light Bus,LPG,134,2022-01-01
2022-01-01,Public Bus,Diesel,1155,2022-01-01
2022-01-01,Public Bus,Electric,1,2022-01-01
2022-01-01,Public Light Bus,Diesel,29,2022-01-01
2022-01-01,Public Light Bus,LPG,361,2022-01-01
2022-01-01,Taxi,LPG,2121,2022-01-01
2022-02-01,HGV,Diesel,836,2022-02-01
2022-02-01,LGV,Diesel,10501,2022-02-01
2022-02-01,LGV,Electric,100,2022-02-01
2022-02-01,LGV,Petrol,4,2022-02-01
2022-02-01,MGV,Diesel,3353,2022-02-01
2022-02-01,MGV,Electric,2,2022-02-01
2022-02-01,Motorcycle,Electric,104,2022-02-01
2022-02-01,Motorcycle,Petrol,20747,2022-02-01
