資料年月,縣市,燃料別,車種類別,數量
201302,臺北市,液化石油氣,小客車,0
201302,臺北市,液化石油氣,小貨車,1
201302,臺北市,液化石油氣,特種車,0
201302,臺北市,液化石油氣,機車重型,0
201302,臺北市,液化石油氣,機車輕型,0
201302,臺北市,電能,大客車,2
201302,臺北市,電能,大貨車,0
201302,臺北市,電能,小客車,90
201302,臺北市,電能,小貨車,3
201302,臺北市,電能,特種車,3
201302,臺北市,電能,機車重型,14
201302,臺北市,電能,機車輕型,3436
201302,臺北市,電能(增程),大客車,0
201302,臺北市,電能(增程),大貨車,0
201302,臺北市,電能(增程),小客車,0
201302,臺北市,電能(增程),小貨車,0
201302,臺北市,電能(增程),特種車,0
201302,臺北市,電能(增程),機車重型,0
201302,臺北市,電能(增程),機車輕型,0
201302,臺北市,電能/汽油,大客車,0
201302,臺北市,電能/汽油,大貨車,0
201302,臺北市,電能/汽油,小客車,0
201302,臺北市,電能/汽油,小貨車,0
201302,臺北市,電能/汽油,特種車,0
201302,臺北市,電能/汽油,機車重型,0
201302,臺北市,電能/汽油,機車輕型,0
201302,臺北市,電能/柴油,大客車,0
201302,臺北市,電能/柴油,大貨車,0
201302,臺北市,電能/柴油,小客車,0
201302,臺北市,電能/柴油,小貨車,0
201302,臺北市,電能/柴油,特種車,0
201302,臺北市,電能/柴油,機車重型,0
201302,臺北市,電能/柴油,機車輕型,0
201302,臺北市,總計,大客車,7221
201302,臺北市,總計,大貨車,6078
201302,臺北市,總計,小客車,677781
201302,臺北市,總計,小貨車,60146
201302,臺北市,總計,特種車,8220
201302,臺北市,總計,機車重型,862223
201302,臺北市,總計,機車輕型,238509
201303,臺北市,汽油,大客車,36
201303,臺北市,汽油,大貨車,25
201303,臺北市,汽油,小客車,636419
201303,臺北市,汽油,小貨車,36303
201303,臺北市,汽油,特種車,4760
201303,臺北市,汽油,機車重型,863628
201303,臺北市,汽油,機車輕型,233844
201303,臺北市,汽油(油電),大客車,0
201303,臺北市,汽油(油電),大貨車,0
201303,臺北市,汽油(油電),小客車,0
201303,臺北市,汽油(油電),小貨車,0
201303,臺北市,汽油(油電),特種車,0
201303,臺北市,汽油(油電),機車重型,0
201303,臺北市,汽油(油電),機車輕型,0
201303,臺北市,汽油/LPG,大客車,0
201303,臺北市,汽油/LPG,大貨車,0
201303,臺北市,汽油/LPG,小客車,7364
201303,臺北市,汽油/LPG,小貨車,2
201303,臺北市,汽油/LPG,特種車,16
201303,臺北市,汽油/LPG,機車重型,0
201303,臺北市,汽油/LPG,機車輕型,0
201303,臺北市,汽油/電能,大客車,0
201303,臺北市,汽油/電能,大貨車,0
201303,臺北市,汽油/電能,小客車,10134
201303,臺北市,汽油/電能,小貨車,2
201303,臺北市,汽油/電能,特種車,10
201303,臺北市,汽油/電能,機車重型,0
201303,臺北市,汽油/電能,機車輕型,0
201303,臺北市,柴油,大客車,7199
201303,臺北市,柴油,大貨車,6067
201303,臺北市,柴油,小客車,23574
201303,臺北市,柴油,小貨車,23943
201303,臺北市,柴油,特種車,3419
201303,臺北市,柴油,機車重型,1
201303,臺北市,柴油,機車輕型,0
201303,臺北市,柴油(油電),大客車,0
201303,臺北市,柴油(油電),大貨車,0
201303,臺北市,柴油(油電),小客車,0
201303,臺北市,柴油(油電),小貨車,0
201303,臺北市,柴油(油電),特種車,0
201303,臺北市,柴油(油電),機車重型,0
201303,臺北市,柴油(油電),機車輕型,0
201303,臺北市,柴油/電能,大客車,20
201303,臺北市,柴油/電能,大貨車,0
201303,臺北市,柴油/電能,小客車,0
201303,臺北市,柴油/電能,小貨車,0
201303,臺北市,柴油/電能,特種車,0
201303,臺北市,柴油/電能,機車重型,0
201303,臺北市,柴油/電能,機車輕型,0
201303,臺北市,液化石油氣,大客車,0
201303,臺北市,液化石油氣,大貨車,0
201303,臺北市,液化石油氣,小客車,0
201303,臺北市,液化石油氣,小貨車,1
201303,臺北市,液化石油氣,特種車,0
201303,臺北市,液化石油氣,機車重型,0
201303,臺北市,液化石油氣,機車輕型,0
201303,臺北市,電能,大客車,2
201303,臺北市,電能,大貨車,0
201303,臺北市,電能,小客車,86
201303,臺北市,電能,小貨車,7
201303,臺北市,電能,特種車,3
201303,臺北市,電能,機車重型,14
201303,臺北市,電能,機車輕型,3520
201303,臺北市,電能(增程),大客車,0
201303,臺北市,電能(增程),大貨車,0
201303,臺北市,電能(增程),小客車,0
201303,臺北市,電能(增程),小貨車,0
201303,臺北市,電能(增程),特種車,0
201303,臺北市,電能(增程),機車重型,0
201303,臺北市,電能(增程),機車輕型,0
201303,臺北市,電能/汽油,大客車,0
201303,臺北市,電能/汽油,大貨車,0
201303,臺北市,電能/汽油,小客車,0
201303,臺北市,電能/汽油,小貨車,0
201303,臺北市,電能/汽油,特種車,0
201303,臺北市,電能/汽油,機車重型,0
201303,臺北市,電能/汽油,機車輕型,0
201303,臺北市,電能/柴油,大客車,0
201303,臺北市,電能/柴油,大貨車,0
201303,臺北市,電能/柴油,小客車,0
201303,臺北市,電能/柴油,小貨車,0
201303,臺北市,電能/柴油,特種車,0
201303,臺北市,電能/柴油,機車重型,0
201303,臺北市,電能/柴油,機車輕型,0
201303,臺北市,總計,大客車,7257
201303,臺北市,總計,大貨車,6092
201303,臺北市,總計,小客車,677577
201303,臺北市,總計,小貨車,60258
201303,臺北市,總計,特種車,8208
201303,臺北市,總計,機車重型,863643
201303,臺北市,總計,機車輕型,237364
201304,臺北市,汽油,大客車,36
201304,臺北市,汽油,大貨車,25
201304,臺北市,汽油,小客車,635594
201304,臺北市,汽油,小貨車,36308
201304,臺北市,汽油,特種車,4760
201304,臺北市,汽油,機車重型,865099
